,Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
,,1775013-2,0.8 Btb Fs Rcpt G/f 24P; 1775013-2,"J1A, J1B, J2A, J2B",Unknown server,Unknown server,Unknown server,4,TE Connectivity / AMP,1775013-2,Obsolete,Mouser,571-1775013-2,1,4
,,10162582-1134151LF,"Mezzanine Connector, Header, 1 mm, 2 Rows, 51 Contacts, Surface Mount Straight, Copper Alloy","J3_A, J3_B, J4_A, J4_B",Unknown server,Unknown server,Unknown server,4,Amphenol Communications Solutions,10162582-1134151LF,,Arrow Electronics,10162582-1134151LF,0.219,0.876
,,CLT-102-02-F-D-BE,"Board Connector, 4 Contact(s), 2 Row(s), Female, Straight, 0.079 inch Pitch, Surface Mount Terminal, Locking, Black Insulator, Plug","J5A, J5B, J6A, J6B, J7A, J7B, J8A, J8B",Unknown server,Unknown server,Unknown server,8,Samtec,CLT-102-02-F-D-BE,Volume Production,Newark,87P9553,1.23,9.84
,,9775046960R,"WA-SMSR SMT Steel Spacer Reverse, hole 3.2mm x 4.6mm","MP1, MP2, MP3, MP4",Unknown server,Unknown server,Unknown server,4,Wurth Elektronik,9775046960R,,DigiKey,732-10915-1-ND,1.09,4.36
,,9776030960R,WA-SMSSR SMT Steel Spacer fixed with snap rivet,"MP5_A, MP5_B, MP6_A, MP6_B, MP7_A, MP7_B, MP8_A, MP8_B, MP9_A, MP9_B, MP10_A, MP10_B",Unknown server,Unknown server,Unknown server,12,Wurth Elektronik,9776030960R,,Mouser,710-9776030960R,1.21,14.52
,,66200221022,"WR-MPC3 Dual Row Right Angled Header with Plastic Pegs, THT, pitch 3mm, 2pins","P1, P2",Unknown server,Unknown server,Unknown server,2,Molex,43045-0201,Volume Production,Arrow Electronics,0430450201,0.5422,1.08
