,Line #,Quantity,Name,Description,Manufacturer Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1,Designator,Revision ID,Revision Status,Manufacturer 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1
,,28,2k 1% 0603,2k 1% 0603 100mW,ERJ-3GEYJ202V,0.003,0.084,"R2, R6, R8, R12, R14, R18, R20, R26, R28, R33, R35, R40, R42, R48, R53, R57, R59, R65, R67, R71, R73, R77, R79, R83, R85, R90, R92, R97",Unknown server,Unknown server,Panasonic,Volume Production,Newark,65T8598
,28,6,0R 1% 0603,0R 1% 0603,CRCW06030000Z0EI,0.052,0.52,"R21, R24, R52, R60, R63, R101",Unknown server,Unknown server,Vishay,Volume Production,Mouser,71-CRCW06030000Z0EI
,23,4,60R4 1% 0603,60R4 1% 0603,ERJ-3EKF60R4V,0.003,0.012,"R41, R42, R89, R93",Unknown server,Unknown server,Panasonic,Volume Production,Newark,65T8495
,24,2,1k 1% 0603,1k 1% 0603 250mW,CR0603-FX-1001ELF,0.01129,0.11295,"R50, R99",Unknown server,Unknown server,Bourns,Volume Production,Farnell,2008335
,25,2,100k 1% 0603,100k 1% 0603 250mW,CRGP0603F100K,0.032,0.064,"R53, R102",Unknown server,Unknown server,TE Connectivity,Volume Production,Avnet,73AC3644
,19,14,47k 0.1% 0603,47k 0.1% 0603,ERJ-PB3B4702V,0.075,1.05,"R103A, R103B, R103C, R103D, R103E, R103F, R103G, R105A, R105B, R105C, R105D, R105E, R105F, R105G",Unknown server,Unknown server,Panasonic,New Product,Mouser,667-ERJ-PB3B4702V
,20,14,3k9 1% 0603,3k9 1% 0603 100mW,RMCF0603FT3K90,0.01,0.14,"R104A, R104B, R104C, R104D, R104E, R104F, R104G, R106A, R106B, R106C, R106D, R106E, R106F, R106G",Unknown server,Unknown server,Stackpole Electronics,Volume Production,Mouser,708-RMCF0603FT3K90
,27,2,L9963E,14 Cell Battery Monitor,L9963E-TR,12.13,24.26,"U1, U2",Unknown server,Unknown server,STMicroelectronics,Volume Production,Newark,40AJ7576
,,2,10162581-3134125LF,"ConanÂ® Lite 1.00mm, Board to Board connector, Receptacle, 25 position",,,,"J1, J2",Unknown server,Unknown server,,,,
,,2,662002235922,"WR-MPC3 Dual Row Vertical Header with THT Retention Clip, SMT, pitch 3mm, 2pins",,,,"P1, P2",Unknown server,Unknown server,,,,
